Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
1.0,0.06548904329564625,0.30600415902955064,0.778841511234303,14.006431598949675,0.44106593693140894,0.9104385310783982,107.0,133.0,121.0,133.42399597167972,0.018191400915457293,0.08500115528598629,-0.11439196765480661,0.3217438660140981,-0.12756038476320025,,0.0,inf
1.05,0.049576680735899666,0.3157810439369869,0.613532403954067,14.006425628738551,0.4418382968287915,0.9148196317255496,107.0,133.0,121.0,133.42399597167972,0.013771300204416574,0.08771695664916303,-0.0884020142208143,0.0543160272635348,-0.10106609974193521,,0.0,inf
1.1,0.03737844005234139,0.29079293479265506,0.4696581112765609,14.00642177506225,0.4424216008628719,0.9190339017659426,107.0,133.0,121.0,133.42399597167972,0.010382900014539275,0.08077581522018196,-0.06776800379754593,-0.1388228285796213,-0.08088156603480065,,0.0,inf
1.15,0.02807452753186356,0.2439270764667138,0.3553368119540001,14.006419780398636,0.44286029087379575,0.9227057714015244,107.0,133.0,121.0,133.42399597167972,0.007798479869962099,0.06775752124075383,-0.05168840289154369,-0.2603658795885634,-0.06501961775972588,,0.0,inf
1.2000000000000002,0.021016656607471804,0.186432194770402,0.2732833366344016,14.006419057315078,0.4431891938729677,0.925626571290195,107.0,133.0,121.0,133.42399597167972,0.0058379601687421675,0.05178672076955611,-0.03921039402439843,-0.3194160094239528,-0.04870404841805709,,0.0,inf
1.25,0.0,0.12728300628075648,0.22214935517784684,14.006418991047985,0.4431891938729677,0.9277255344204604,107.0,133.0,121.0,133.42399597167972,0.0,0.03535639063354346,-0.11675920337484376,-0.3286066027202541,-0.02002727804050914,,0.0,inf
1.3,0.0053112960422027206,0.07293947644603409,0.1978686107819715,14.006419147023491,0.4434481358912308,0.9290360314771532,107.0,133.0,121.0,133.42399597167972,0.0014753600117229778,0.020260965679453912,0.02950720023445953,-0.30190849908179074,0.051202636320466496,,0.0,inf
1.35,0.0066965400707116075,0.02744507862033739,0.19486272545897385,14.006419275829911,0.4435353399021551,0.9296611114405096,107.0,133.0,121.0,133.42399597167972,0.001860150019642113,0.007623632950093719,0.0076958001583826985,-0.25274665458720363,0.23032093539386816,,0.0,inf
1.4,0.0068245199975061396,0.00724486977925323,0.18259401032697084,14.006419313255865,0.4436304018599913,0.9297421313822268,107.0,133.0,121.0,133.42399597167972,0.001895699999307261,0.0020124638275703416,0.0007109995933029582,-0.11222338245046795,0.6094231360543928,,5.23823568987494e-06,inf
1.4500000000000002,0.006304284186388779,0.03085784595384969,0.16087076860765456,14.006419267269633,0.44372130586998537,0.9300509213935584,107.0,133.0,121.0,133.42399597167972,0.0017511900517746606,0.008571623876069358,-0.0028901989506519895,0.13118320096997965,1.2280356391327818,,0.0,inf
1.5,0.006227153970075025,0.0,0.13027035270469947,14.00641928398255,0.44380236888537183,0.9300509213935584,107.0,133.0,121.0,133.42399597167972,0.0017297649916875068,0.0,-0.00042850120174307816,-0.17143247752138777,1.9531699764353878,,5.955573446608854e-06,8050.753608047285
1.55,1.3594640543309093,0.0,0.0986922483110008,13.994423768535436,0.4558036815415446,0.9300509213935584,107.01200103759766,133.0,121.0,133.42399597167972,0.3776289039808081,0.0,7.517982779782405,0.0,2.4692981329613604,,0.07205805236883482,37.05768558539891
1.6,2.066035401476429,0.01666201871809224,0.0712791567035445,13.96840417150571,0.4818242576172042,0.9303518313681708,107.03800201416016,133.00100708007812,121.0,133.42399597167972,0.5738987226323413,0.0046283385328033996,3.9253963730306607,0.09256677065606791,2.4739981696495734,,0.16582152885892315,24.5369497380457
1.65,2.489498969318168,0.021415249724163768,0.049027974029289496,13.93636064697252,0.5138843663550431,0.9305447812657804,107.06999969482422,133.00300598144528,121.0,133.42399597167972,0.6915274914772689,0.00594868047893438,2.35257537689856,0.026406838922619694,1.9203908408501937,,0.24047739511756314,20.32757889773434
1.7000000000000002,2.594690283507987,0.020031748772601176,0.032387929429509424,13.900343976759265,0.5499011632952349,0.9307391312904656,107.1060028076172,133.00399780273438,121.0,133.42399597167972,0.7207473009744407,0.005564374659055882,0.5843961899434338,-0.007686116397569905,1.0542915826019814,,0.261170509777804,19.435796224065996
1.75,2.400060396241221,0.01889977337727398,0.02154960613916117,13.8653035269647,0.5849542460329717,0.9309452812885866,107.14099884033205,133.00599670410156,121.0,133.42399597167972,0.6666834434003391,0.005249937049242773,-1.0812771514820356,-0.006288752196262215,0.22821363703463624,,0.2235585864591936,20.962188597864856
1.8,2.1597167326058635,0.01796283194045822,0.016051941688603587,13.833289996598468,0.616967774725409,0.931170272291638,107.1729965209961,133.00700378417972,121.0,133.42399597167972,0.5999213146127399,0.004989675539016172,-1.3352425757519837,-0.005205230204532014,-0.30595999476280705,,0.18114533553856962,23.251507522882058
1.85,1.9518389906067104,0.017229239728626417,0.01503035779943249,13.804273914984256,0.6449852145042928,0.9322001135213418,107.20099639892578,133.00799560546878,120.9990005493164,133.42399597167972,0.5421774973907528,0.004785899924618449,-1.1548763444397403,-0.004075512287954448,-0.47652370009110445,,0.14805593938720193,25.687072721911967
1.9,1.8801230178122903,0.016662730807811072,0.015972143902288276,13.777225530171421,0.6720595327305384,0.9324733224992292,107.22799682617188,133.00999450683594,120.9990005493164,133.42399597167972,0.5222563938367473,0.004628536335503076,-0.39842207108011257,-0.00314727178230748,-0.3506737785078419,,0.1374142421231523,26.615567873411013
1.95,1.8289810168318656,0.016180217828498114,0.014504381089753118,13.751206004180027,0.6980800056166274,0.932769991521875,107.25399780273438,133.01100158691406,120.9990005493164,133.42399597167972,0.508050282453296,0.004494504952360587,-0.28412222766902556,-0.0026806276628497743,-0.051448826551852365,,0.13006791179042126,27.307665887113398
2.0,1.9473012290824208,0.015688335045850703,0.016073214594338192,13.725186944516578,0.7240998924194054,0.9330876795054996,107.27999877929688,133.01199340820312,120.9990005493164,133.42399597167972,0.5409170080784502,0.0043578708460696395,0.6573345125030844,-0.0027326821258189466,0.303157969634239,0.4307183543974393,0.1473721084843243,25.579531121210188
2.0500000000000003,2.0156164191186967,0.01510185869970771,0.01758340046430896,13.69617043455632,0.7521178759114889,0.934141466812762,107.30799865722656,133.01300048828122,120.9980010986328,133.42399597167972,0.5598934497551935,0.004194960749918808,0.37952883353486366,-0.0032582019230166168,0.6227438677539692,,0.1578552585403316,24.6463221374801
2.1,2.361294876955672,0.014360373780200138,0.01735323597051975,13.66515593191249,0.7831324614126395,0.9344868878073253,107.33899688720705,133.01400756835938,120.9980010986328,133.42399597167972,0.6559152435987978,0.003988992716722261,1.9204358768720933,-0.004119360663930955,0.849215099576201,,0.21641992985886807,20.960877560380197
2.15,2.4900220996450697,0.6765523961095018,0.08286695060905355,13.643102755659887,0.816197698082352,0.9454886882840612,107.37200164794922,133.01600646972656,121.00900268554688,133.42399597167972,0.6916728054569637,0.18793122114152827,0.715151237163321,3.678844568496133,0.9632559957117841,,0.22881726588868534,27.08299721617739
2.2,2.7043431926123267,1.2240716960812317,0.20327094533991655,13.622056348427641,0.8532465952933354,0.9614880933791776,107.40899658203124,133.01800537109378,121.0250015258789,133.42399597167972,0.7512064423923129,0.3400199155781199,1.1906727387069773,3.041773888731816,0.9824508008510016,,0.24512112476739173,33.1278487538953
2.25,2.865071335813964,0.808473538734603,0.2822283218756495,13.59600740966854,0.8922992505834625,0.974490032721266,107.447998046875,133.02000427246094,121.03800201416016,133.42399597167972,0.7958531488372123,0.22457598298183418,0.8929341288979896,-2.3088786519257223,0.9420214797780899,,0.3014723661773083,23.79890223739138
2.3000000000000003,3.0430977239761314,1.4857835603163372,0.4290103947132374,13.574983507598247,0.9333116115208536,0.9944880698958128,107.48899841308594,133.02099609375,121.05799865722656,133.42399597167972,0.8453049233267032,0.412717655643427,0.9890354897898127,3.762833453231836,0.8732355429814687,,0.3021831954535663,31.380187813708293
2.35,3.1669351895638327,1.0801391625500243,0.5353013869953772,13.548934717892713,0.9763573154179184,1.0114873205618844,107.53199768066406,133.02299499511722,121.0749969482422,133.42399597167972,0.8797042193232868,0.30003865626389564,0.6879859199316753,-2.2535799875906353,0.7966304155902167,,0.3586924334353619,23.373306693117485
2.4000000000000004,3.3035204112133347,1.7634559219587511,0.7099807061104713,13.52788111803167,1.0214074818180312,1.0354898824754435,107.5770034790039,133.02499389648438,121.0989990234375,133.42399597167972,0.9176445586703708,0.4898488672107642,0.7588067869416752,3.796204218937351,0.7260241937068092,,0.3428880862434542,31.621554804183745
2.45,3.4007155835763045,1.3641635868570927,0.8447790430133306,13.500841166108167,1.0684470420297802,1.055494260298646,107.6240005493164,133.02699279785156,121.11900329589844,133.42399597167972,0.9446432176600845,0.3789343296825257,0.5399731797942772,-2.2182907505647775,0.6712943938654448,,0.4002019487002707,23.864929124734697
2.5,3.518698137378608,2.052247368171468,1.0484349463258922,13.480764996969624,1.116537601937143,1.083494157896569,107.6719970703125,133.02999877929688,121.14700317382812,133.42399597167972,0.9774161492718356,0.5700687133809633,0.6554586322350243,3.822687673968766,0.6376842589808399,,0.3713008840686263,33.09320957278661
2.5500000000000003,3.611619154116828,1.6578257647553327,1.2127073369314547,13.454709133709185,1.1665805913746563,1.1074886382845912,107.72200012207031,133.03199768066406,121.1709976196289,133.42399597167972,1.00322754281023,0.4605071568764813,0.5162278707678841,-2.1912311300896286,0.6249928932827733,,0.4345512592339928,24.790779146372707
2.6,3.733784394154868,2.350863860454264,1.4463576855988614,13.43566184171567,1.217622249478937,1.1394939858813566,107.77300262451172,133.03399658203122,121.2030029296875,133.42399597167972,1.0371623317096854,0.6530177390150734,0.6786957779891114,3.850211642771856,0.6290247173953248,,0.3977841199993688,34.97462244944836
2.6500000000000004,3.84038124992216,1.961695021549835,1.5748719481428948,13.411590441972045,1.2697033940967926,1.167494030800429,107.8249969482422,133.03700256347656,121.2310028076172,133.42399597167972,1.0667725694228223,0.544915283763843,0.5922047542627342,-2.1620491050245967,0.6443767151317503,,0.4721588470821874,25.699235822066875
2.7,3.967818677771642,2.6576186491006744,1.7182266434448392,13.392507452269161,1.324784951731359,1.2034896028320636,107.87999725341795,133.03999328613278,121.26699829101562,133.42399597167972,1.1021718549365673,0.738227402527965,0.7079857102749035,3.866242375282454,0.6670318198399363,,0.4279368433359678,36.79720735284133
2.75,4.077586210926406,2.2723360763280325,1.8646128972041816,13.369435919424667,1.3808653278067808,1.2364945370249332,107.93599700927734,133.04299926757812,121.3000030517578,133.42399597167972,1.1326628363684461,0.6312044656466756,0.6098196286375779,-2.1404587376257953,0.6942697196374789,,0.510922516967075,26.66057661858484
2.8000000000000003,4.219277583923511,2.9727077659753283,2.0133053177700813,13.351352425491722,1.4379437429124862,1.2754884440825354,107.99299621582031,133.04600524902344,121.33899688720705,133.42399597167972,1.1720215510898642,0.825752157215369,0.7871742944283568,3.890953831373846,0.7226363689829812,,0.4618734261631132,38.55658945253543
