Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
2.2,0.00029062803776450737,0.0,6.217248937900875e-16,6.014682782683332,0.33155147742945695,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,8.073001049014094e-05,0.0,3.2421715570612715e-06,0.0,-0.00017695939636729787,,1.164718688277151e-06,66292.09839380444
2.25,0.00026673515686420174,0.0,6.217248937900875e-16,6.014682784765473,0.3315553375286981,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,7.409309912894493e-05,0.0,-0.00013273822722392056,0.0,-0.00012453957942513752,,1.1509310919271556e-06,71524.0946887069
2.3000000000000003,0.00022945392108188173,0.0,6.217248937900875e-16,6.014682786596202,0.3315587274264544,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,6.37372003005227e-05,0.0,-0.00020711797656844353,0.0,-0.00013842764912407507,,1.1295056159521198e-06,81569.17759397987
2.35,0.00019320264565374768,0.0,6.217248937900875e-16,6.014682788163898,0.3315616274485365,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,5.366740157048547e-05,0.0,-0.00020139597460074531,0.0,-0.0001680066831132469,,1.108774898136635e-06,94470.36693503363
2.4000000000000004,0.00016107084272107367,0.0,6.217248937900875e-16,6.014682789445925,0.3315639974316582,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,4.4741900755853794e-05,0.0,-0.00017851001629263255,0.0,-0.00018574843168415165,,1.090484720353331e-06,109873.47363532583
2.45,0.00012904200745421753,0.0,6.217248937900875e-16,6.01468279049625,0.33156593749299645,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,3.584500207061598e-05,0.0,-0.00017793797370475696,0.0,-0.00018131152273511808,,1.072332436227953e-06,131196.04141868537
2.5,4.181256127330985e-05,0.0,6.217248937900875e-16,6.01468279049625,0.33156593749299645,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.161460035369718e-05,0.0,-0.00048460803433837766,0.0,-0.00015328619656278038,,1.0232966501780823e-06,278269.44250983745
2.5500000000000003,5.904577822542532e-05,0.0,6.217248937900875e-16,6.014682791097384,0.3315670475130901,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.6401605062618143e-05,0.0,9.574009417841875e-05,0.0,-0.00011046306148801587,,1.0329377164495512e-06,227815.04294273126
2.6,6.0968203388689554e-05,0.0,6.217248937900875e-16,6.014682791097384,0.3315670475130901,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.6935612052413766e-05,0.0,1.0680139795912486e-05,0.0,-6.960202931745176e-05,,1.0340146315826225e-06,223298.53798731085
2.6500000000000004,5.918292388575819e-05,0.0,6.217248937900875e-16,6.01468279198603,0.33156868745572865,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.6439701079377274e-05,0.0,-9.918219460729778e-06,0.0,-4.438873294757046e-05,,1.0330145340445443e-06,227486.79245384617
2.7,5.2454519764788395e-05,0.0,6.217248937900875e-16,6.01468279198603,0.33156868745572865,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.4570699934663442e-05,0.0,-3.738002289427678e-05,0.0,-3.659506979803769e-05,,1.0292475525176197e-06,244790.86098401033
2.75,4.304847482912099e-05,0.0,6.217248937900875e-16,6.0146827927721045,0.3315701375249773,0.8418508886825293,107.0,133.0,113.0,133.41999816894528,1.195790967475583e-05,0.0,-5.2255805198152424e-05,0.0,-3.899773535613782e-05,,1.0239873151514064e-06,273918.7327875274
